,ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
32,AAT,"AMERICAN ASSETS TRUST, INC.",stocks,us,XNYS,CS,True,usd,0001500217,BBG00161BCR0,BBG001TCBJS5,2022-12-15T00:00:00Z
33,AATC,Autoscope Technologies Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0000943034,BBG011MC2100,BBG011MC2119,2022-12-15T00:00:00Z
34,AAU,Almaden Minerals Ltd.,stocks,us,XASE,CS,True,usd,0001015647,BBG000DGFSY4,BBG001S7VVD4,2022-12-15T00:00:00Z
35,AAWW,"Atlas Air Worldwide Holdings, Inc.",stocks,us,XNAS,CS,True,usd,0001135185,BBG000Q57YP0,BBG001SM7BG9,2022-12-15T00:00:00Z
36,AAXJ,iShares MSCI All Country Asia ex Japan ETF,stocks,us,XNAS,ETF,True,usd,0001100663,BBG000G6GXC5,BBG001T2V2D8,2022-12-15T00:00:00Z
37,AB,"AllianceBernstein Holding, L.P.",stocks,us,XNYS,CS,True,usd,0000825313,BBG000B9WM03,BBG001S5N9S0,2022-12-15T00:00:00Z
38,ABB,ABB Ltd.,stocks,us,XNYS,ADRC,True,usd,0001091587,BBG000DK5Q25,BBG001SDDMX9,2022-12-15T00:00:00Z
39,ABBV,ABBVIE INC.,stocks,us,XNYS,CS,True,usd,0001551152,BBG0025Y4RY4,BBG0025Y4RZ3,2022-12-15T00:00:00Z
40,ABC,AmerisourceBergen Corp.,stocks,us,XNYS,CS,True,usd,0001140859,BBG000MDCQC2,BBG001S8X7P0,2022-12-15T00:00:00Z
41,ABCB,Ameris Bancorp,stocks,us,XNAS,CS,True,usd,0000351569,BBG000CDY3H5,BBG001S80PX7,2022-12-15T00:00:00Z
42,ABCL,AbCellera Biologics Inc. Common Shares,stocks,us,XNAS,CS,True,usd,0001703057,BBG00LLW2MF2,BBG00LLW2MH0,2022-12-15T00:00:00Z
43,ABCM,Abcam plc American Depositary Shares,stocks,us,XNAS,ADRC,True,usd,0001492074,BBG00XRJJLG2,BBG00XRJJM98,2022-12-15T00:00:00Z
44,ABEO,Abeona Therapeutics Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0000318306,BBG000DT5D52,BBG001S8T7K0,2022-12-15T00:00:00Z
45,ABEQ,Absolute Select Value ETF,stocks,us,ARCX,ETF,True,usd,,BBG00RHHGQY2,BBG00RHHGRP0,2022-12-15T00:00:00Z
46,ABEV,AMBEV S.A.,stocks,us,XNYS,ADRC,True,usd,0001565025,BBG000BN5VZ4,BBG005KLVT74,2022-12-15T00:00:00Z
47,ABG,"Asbury Automotive Group, Inc.",stocks,us,XNYS,CS,True,usd,0001144980,BBG000BKDWB5,BBG001S9B5H5,2022-12-15T00:00:00Z
48,ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001833764,,,2022-12-15T00:00:00Z
49,ABIO,"ARCA biopharma, Inc.",stocks,us,XNAS,CS,True,usd,0000907654,BBG000BWNN28,BBG001SB1GL2,2022-12-15T00:00:00Z
50,ABM,"ABM Industries, Inc.",stocks,us,XNYS,CS,True,usd,0000771497,BBG000B9YYH7,BBG001S5N9B8,2022-12-15T00:00:00Z
51,ABMD,Abiomed Inc,stocks,us,XNAS,CS,True,usd,0000815094,BBG000C101X4,BBG001S64SQ9,2022-12-15T00:00:00Z
52,ABNB,"Airbnb, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001559720,BBG001Y2XS07,BBG001Y2XS16,2022-12-15T00:00:00Z
53,ABOS,"Acumen Pharmaceuticals, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001576885,BBG0058YJ317,BBG0058YJ326,2022-12-15T00:00:00Z
